sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,0,90090,3.003000,90090,3.003000,90090,3.003000,1001,0.033367,131352,10819,640,360,yuv420p,N/A,P,87,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,91091,3.036367,91091,3.036367,91091,3.036367,1001,0.033367,147949,306,640,360,yuv420p,N/A,B,93,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,92092,3.069733,92092,3.069733,92092,3.069733,1001,0.033367,147464,485,640,360,yuv420p,N/A,B,92,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,93093,3.103100,93093,3.103100,93093,3.103100,1001,0.033367,148255,273,640,360,yuv420p,N/A,B,94,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,94094,3.136467,94094,3.136467,94094,3.136467,1001,0.033367,143556,3908,640,360,yuv420p,N/A,P,91,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,95095,3.169833,95095,3.169833,95095,3.169833,1001,0.033367,152891,327,640,360,yuv420p,N/A,B,97,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,96096,3.203200,96096,3.203200,96096,3.203200,1001,0.033367,152421,470,640,360,yuv420p,N/A,B,96,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,97097,3.236567,97097,3.236567,97097,3.236567,1001,0.033367,153218,278,640,360,yuv420p,N/A,B,98,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,98098,3.269933,98098,3.269933,98098,3.269933,1001,0.033367,148528,3893,640,360,yuv420p,N/A,P,95,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,99099,3.303300,99099,3.303300,99099,3.303300,1001,0.033367,157662,281,640,360,yuv420p,N/A,B,101,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,100100,3.336667,100100,3.336667,100100,3.336667,1001,0.033367,157219,443,640,360,yuv420p,N/A,B,100,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,101101,3.370033,101101,3.370033,101101,3.370033,1001,0.033367,157943,258,640,360,yuv420p,N/A,B,102,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,102102,3.403400,102102,3.403400,102102,3.403400,1001,0.033367,153496,3723,640,360,yuv420p,N/A,P,99,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,103103,3.436767,103103,3.436767,103103,3.436767,1001,0.033367,162543,284,640,360,yuv420p,N/A,B,105,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,104104,3.470133,104104,3.470133,104104,3.470133,1001,0.033367,162097,446,640,360,yuv420p,N/A,B,104,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,105105,3.503500,105105,3.503500,105105,3.503500,1001,0.033367,162827,233,640,360,yuv420p,N/A,B,106,0,0,0,0,unknown,unknown,unknown,unknown,left
